epoch,loss,accuracy,grad_norm
1,0.24807202325327626,92.72166666666666,0.8575954329217478
2,0.14598461224494982,95.835,0.6903279692793349
3,0.11877377234450949,96.73833333333333,0.6270627186953002
4,0.11972988137976824,96.83166666666666,0.6527912892569326
5,0.1025650370185316,97.29333333333334,0.6045983396627083
6,0.10130791332022766,97.375,0.630614873899675
7,0.08799854110521046,97.63166666666666,0.5966361135725817
8,0.0864420832063389,97.79833333333333,0.5795552213923343
9,0.08499539087634383,97.87833333333333,0.5844791999786599
10,0.07987476198402424,97.92,0.566650012706099
11,0.07665369485241524,98.14833333333333,0.5467698067966237
12,0.07091114966488506,98.28666666666666,0.514250741992867
13,0.07132323203562131,98.24666666666667,0.5092039721724589
14,0.06841908167182897,98.32333333333334,0.5102828188898054
15,0.06743468637040172,98.34,0.5414389866953507
16,0.06948827079028319,98.42833333333333,0.5373014722900293
17,0.05751818527056527,98.64166666666667,0.47720881484416405
18,0.05352129117676598,98.70333333333333,0.4383480235527122
19,0.06675996770783206,98.42,0.5179809644029256
20,0.05750697429828449,98.67666666666666,0.4803029357658053
21,0.05775019061278579,98.70833333333333,0.4493300518606927
22,0.05425440596115883,98.775,0.4412710301265617
23,0.04991750311002784,98.86833333333334,0.41085832406606865
24,0.051556991029738694,98.86166666666666,0.42978190486844114
25,0.046094216931663705,98.96166666666667,0.40859013923877185
26,0.04073313544620547,99.03,0.37012781940119027
27,0.05690360703819902,98.81333333333333,0.4655906867928986
28,0.04317091566955173,99.075,0.368689737216402
29,0.0454926218534559,99.00166666666667,0.37161376835794546
30,0.05999109281009569,98.80333333333333,0.4852521271889487
31,0.05017756858228437,98.895,0.41327464430011746
32,0.04074932607205152,99.08333333333333,0.34849294680974513
33,0.048872373125088395,98.96333333333334,0.4072774240020135
34,0.04766152278974286,99.005,0.4037171913065985
35,0.05036790281848335,98.92666666666666,0.40110036746881733
36,0.04890336000515409,99.04666666666667,0.3738676664786612
37,0.051522790719709256,99.06,0.41793916213611004
38,0.04332465796107511,99.055,0.37608547979201673
39,0.04590052047409512,99.06833333333333,0.3692742631325616
40,0.038481440620783784,99.2,0.3365687067549137
41,0.04179726019578514,99.08833333333334,0.32434708399000756
42,0.05707202378034566,98.93333333333334,0.44538021062028466
43,0.0526348089205171,98.84,0.3653495931933497
44,0.04699797518145585,98.995,0.3639822649552976
45,0.054052216025107916,98.845,0.3941090259829749
46,0.05253200240690509,98.91833333333334,0.39620243575992725
47,0.04535671158875863,99.06833333333333,0.36002864955115244
48,0.0359082966419137,99.20666666666666,0.2797751653535505
49,0.037228019177302916,99.18166666666667,0.276625722036569
50,0.059855811271809986,98.905,0.42737948192378017
