epoch,loss,accuracy,grad_norm
1,0.5245318533117964,89.43166666666667,1.270739737379123
2,0.19378598243681225,94.69166666666666,0.6841462432223265
3,0.169330266393177,95.36166666666666,0.6875208070273046
4,0.15101989572331595,95.94333333333333,0.6908168995848895
5,0.13717366903742303,96.37833333333333,0.6835961295596581
6,0.12885308899839265,96.65833333333333,0.7249833339163918
7,0.12608785339559653,96.79833333333333,0.7694047730702919
8,0.11705378279661331,97.02666666666667,0.7719580124542734
9,0.11136115737607392,97.21,0.7849119882863953
10,0.10685048835823185,97.24,0.8323245543008866
11,0.10867683840899427,97.28333333333333,0.9031723062155517
12,0.10283632959711549,97.39833333333333,0.9358098275337181
13,0.1039345802747702,97.60666666666667,0.983054377393379
14,0.10389894669977459,97.60833333333333,1.0803189254530376
15,0.09883227105985191,97.65333333333334,1.0332398463710626
16,0.09431554522461641,97.735,1.0615837678147317
17,0.09708423536839095,97.815,1.0614155238958263
18,0.08587027092675938,97.86,1.0658494725230112
19,0.08822180214749119,97.89166666666667,1.1061548555167
20,0.08566970584955137,97.99,1.0291837153940302
21,0.08420393737345262,98.02666666666667,1.097298204890156
22,0.09023467220399721,97.99833333333333,1.1918587181556943
23,0.08671913062425642,97.975,1.2403371427943626
24,0.08732679825705122,98.06833333333333,1.2855518869223252
25,0.08613689909934943,98.11166666666666,1.2940817632332564
26,0.08101013601245291,98.11166666666666,1.2712171086925168
27,0.08497369986740554,98.16,1.2161638994903121
28,0.0828975199986849,98.23166666666667,1.245676635541735
29,0.0928162001739701,98.14666666666666,1.391842809748107
30,0.07908961694644678,98.22166666666666,1.2234569108620033
31,0.09174814345426768,98.14833333333333,1.3861671838257446
32,0.0885902876338953,98.18666666666667,1.337911715146371
33,0.09152486329043703,98.18666666666667,1.3896501052503862
34,0.08522469267496162,98.12833333333333,1.445037571963174
35,0.08441036674839382,98.16166666666666,1.344828819529512
36,0.08132964103823924,98.18666666666667,1.3132778349367515
37,0.08430592863109082,98.24166666666666,1.3109435525260642
38,0.08341313934890014,98.23833333333333,1.3873735595319423
39,0.07906045313832258,98.27666666666667,1.3322977045878117
40,0.08690880492725997,98.21166666666667,1.442351934304364
41,0.09386683079034643,98.05,1.5448443729902452
42,0.09210153082394086,98.26,1.4438002919263255
43,0.09023063336369327,98.27333333333333,1.3885833746072669
44,0.08708828241747568,98.30333333333333,1.302029141127494
45,0.0794376625478115,98.255,1.2784424532013614
46,0.09822058587936586,98.18666666666667,1.5922641356718947
47,0.09565695101877751,98.26,1.6561745164205206
48,0.08698765756516919,98.28666666666666,1.5188181444745734
49,0.09313222047466867,98.23166666666667,1.5901758985617573
50,0.091672952717219,98.32333333333334,1.459798780121415
