epoch,loss,accuracy,grad_norm
1,0.2794081020458881,91.50333333333333,0.8401787641189593
2,0.11435190957116047,96.55666666666667,0.5661658570000709
3,0.09577902315605456,97.135,0.5144822329104716
4,0.08931747905165106,97.325,0.5148948686405913
5,0.08321150104395612,97.51666666666667,0.5076265939251855
6,0.07908410611756042,97.74833333333333,0.5032875230682654
7,0.06713618442459877,98.08166666666666,0.46098268681930155
8,0.07303769181191207,97.95666666666666,0.5032744402025512
9,0.07017017661313428,98.025,0.5058744796340341
10,0.06400654681178986,98.25,0.4742166039519209
11,0.06461551093709324,98.29333333333334,0.4869386706277788
12,0.05822132780172079,98.435,0.45336560908117884
13,0.062075127330156986,98.42,0.46667858889967395
14,0.05406287461513695,98.53,0.4460771168181991
15,0.05621136363533141,98.55666666666667,0.46438454225195586
16,0.05579261549356975,98.58833333333334,0.46130362541738473
17,0.06057300234069558,98.56166666666667,0.4856446569013693
18,0.053725657954583714,98.67166666666667,0.4626016160064634
19,0.047312010149147224,98.78333333333333,0.4204424338866706
20,0.056412997786770454,98.70333333333333,0.45413640177315506
21,0.04783505701121023,98.87333333333333,0.4073252400718406
22,0.04644954855663614,98.94833333333334,0.3875350060930467
23,0.04921267711302801,98.86333333333333,0.4159196084404343
24,0.04972327648143451,98.86666666666666,0.42611460380253713
25,0.04398222872178089,99.045,0.379173132490936
26,0.04414372650491113,98.99833333333333,0.39100019619397836
27,0.04352244790649034,98.97666666666667,0.39928343440542624
28,0.04658508155869413,98.99,0.400146760981316
29,0.052481192417032564,98.94833333333334,0.40966988802398263
30,0.035537393554954166,99.17333333333333,0.3505338608222932
31,0.046553390860222754,99.04666666666667,0.40468003678206754
32,0.03654356850630496,99.165,0.33118376262633575
33,0.03952753784993115,99.14666666666666,0.35561719289066146
34,0.05342386549700155,98.92166666666667,0.4089433125724509
35,0.05531970512019941,99.05333333333333,0.42731896389883867
36,0.03921879409584367,99.24,0.3251930994826018
37,0.041387755574690814,99.16,0.3492031539401387
38,0.04443552392213477,99.105,0.36454979309522745
39,0.029819937575890937,99.335,0.2629484536854674
40,0.05687591935915625,98.98833333333333,0.43801789666604124
41,0.04249380006149465,99.13,0.38111662348133196
42,0.03519873038186054,99.325,0.2970531865780645
43,0.04326861595540813,99.21,0.3488028047520463
44,0.039085615731394484,99.185,0.3240514846694033
45,0.037023922660602636,99.295,0.3217811289214072
46,0.03998712369124603,99.235,0.32867364119021786
47,0.03842860119253285,99.25333333333333,0.3255946869897998
48,0.04017055195891927,99.18666666666667,0.32595496134806456
49,0.03320180230879699,99.33833333333334,0.2895553219420696
50,0.04606497194579898,99.17,0.39502329549345944
